id,retirement_age,birthdate,gender,per_capita_income,yearly_income,total_debt,credit_score
825,66,1972-11-25,Female,Rp45.937.000,Rp93.663.000,Rp38.138.095,787
1746,68,1972-12-16,Female,Rp59.451.000,Rp121.212.000,Rp57.186.095,701
1718,67,1944-11-04,Female,Rp35.586.000,Rp52.535.000,Rp58.666,698
708,63,1963-01-12,Female,Rp255.975.000,Rp392.132.000,Rp60.467.238,722
1164,70,1982-09-21,Male,Rp84.407.000,Rp172.099.000,Rp54.946.285,675
68,70,1983-10-20,Male,Rp32.320.000,Rp65.893.000,Rp0,704
1075,67,1989-12-02,Female,Rp39.630.000,Rp80.804.000,Rp30.568.952,672
1711,67,1999-12-19,Male,Rp42.034.000,Rp85.703.000,Rp34.282.285,728
1116,66,1944-07-10,Female,Rp41.222.000,Rp66.697.000,Rp865.142,755
1752,60,1992-01-22,Female,Rp29.387.000,Rp59.920.000,Rp24.285.714,810
192,66,1998-06-25,Male,Rp43.223.000,Rp88.121.000,Rp4.549.714,761
640,63,1996-09-11,Female,Rp35.188.000,Rp71.746.000,Rp28.097.333,629
1679,67,2008-01-04,Female,Rp53.211.000,Rp108.495.000,Rp26.662.285,776
1094,62,1991-10-28,Male,Rp31.890.000,Rp65.022.000,Rp23.559.809,712
1590,62,1977-05-28,Female,Rp15.783.000,Rp32.185.000,Rp9.715.619,599
1660,68,1984-04-18,Female,Rp17.796.000,Rp36.280.000,Rp1.517.904,723
1747,71,1972-01-02,Male,Rp28.082.000,Rp57.264.000,Rp11.456.000,719
153,71,1949-08-05,Female,Rp34.440.000,Rp43.122.000,Rp5.021.714,660
429,68,2003-11-28,Male,Rp41.549.000,Rp84.718.000,Rp26.615.047,683
511,68,1959-10-30,Male,Rp27.395.000,Rp55.860.000,Rp16.547.428,661
309,57,1997-08-19,Male,Rp19.332.000,Rp39.416.000,Rp12.912.190,819
777,65,2008-01-13,Male,Rp166.793.000,Rp340.065.000,Rp0,700
1946,66,1949-06-28,Male,Rp30.633.000,Rp64.500.000,Rp6.421.333,698
1674,64,1955-04-04,Male,Rp22.236.000,Rp42.140.000,Rp3.360.571,712
482,65,1981-01-25,Male,Rp26.879.000,Rp54.804.000,Rp19.081.714,714
877,63,1989-08-22,Female,Rp26.405.000,Rp53.843.000,Rp18.477.142,610
128,66,1985-04-07,Female,Rp24.145.000,Rp49.231.000,Rp17.816.380,722
775,58,1988-09-14,Male,Rp33.580.000,Rp68.468.000,Rp31.096.761,627
1536,67,1984-11-26,Male,Rp25.033.000,Rp51.041.000,Rp11.434.285,766
140,72,1989-02-27,Female,Rp32.411.000,Rp66.086.000,Rp21.757.142,739
